State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2010
4,NCNTY04011N04011,"Greenlee County, AZ",581,602,815,1015,1089,AZ,8437
4,NCNTY04012N04012,"La Paz County, AZ",532,551,746,929,1158,AZ,20489
4,NCNTY04017N04017,"Navajo County, AZ",534,538,728,1027,1037,AZ,107449
4,NCNTY04023N04023,"Santa Cruz County, AZ",505,571,708,893,1254,AZ,47420
5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",479,548,704,1037,1223,AR,440121
5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",538,541,709,945,1065,AR,187692
5,METRO22900N05047,"Franklin County, AR HUD Metro FMR Area",471,475,642,827,964,AR,18125
5,METRO26300M26300,"Hot Springs, AR MSA",459,570,771,1026,1259,AR,96024
5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",403,536,663,931,935,AR,96443
5,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",340,413,541,793,934,AR,24583
5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",572,661,794,1110,1232,AR,681904
5,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",365,427,506,746,896,AR,17853
5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",610,697,826,1129,1258,AR,50902
5,METRO38220M38220,"Pine Bluff, AR MSA",448,527,701,878,1074,AR,100258
5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",475,616,757,943,1012,AR,43462
5,NCNTY05001N05001,"Arkansas County, AR",473,476,644,802,914,AR,19019
5,NCNTY05003N05003,"Ashley County, AR",405,408,552,748,750,AR,21853
5,NCNTY05005N05005,"Baxter County, AR",474,481,642,941,1137,AR,41513
5,NCNTY05009N05009,"Boone County, AR",454,457,618,863,1037,AR,36903
5,NCNTY05011N05011,"Bradley County, AR",441,463,627,910,913,AR,11508
5,NCNTY05013N05013,"Calhoun County, AR",438,441,597,744,903,AR,5368
5,NCNTY05015N05015,"Carroll County, AR",509,512,679,885,907,AR,27446
5,NCNTY05017N05017,"Chicot County, AR",359,362,487,718,863,AR,11800
5,NCNTY05019N05019,"Clark County, AR",494,498,656,870,877,AR,22995
5,NCNTY05021N05021,"Clay County, AR",402,405,548,711,751,AR,16083
5,NCNTY05023N05023,"Cleburne County, AR",496,499,639,839,980,AR,25970
5,NCNTY05027N05027,"Columbia County, AR",465,468,633,891,894,AR,24552
5,NCNTY05029N05029,"Conway County, AR",490,493,667,831,1081,AR,21273
5,NCNTY05037N05037,"Cross County, AR",482,486,627,863,1046,AR,17870
5,NCNTY05039N05039,"Dallas County, AR",386,418,495,729,866,AR,8116
5,NCNTY05041N05041,"Desha County, AR",435,438,593,814,1020,AR,13008
5,NCNTY05043N05043,"Drew County, AR",444,447,605,870,1072,AR,18509
5,NCNTY05049N05049,"Fulton County, AR",429,432,584,727,884,AR,12245
5,NCNTY05055N05055,"Greene County, AR",396,470,632,877,1119,AR,42090
5,NCNTY05057N05057,"Hempstead County, AR",446,468,572,712,930,AR,22609
5,NCNTY05059N05059,"Hot Spring County, AR",469,507,601,801,929,AR,32923
5,NCNTY05061N05061,"Howard County, AR",386,428,579,761,937,AR,13789
5,NCNTY05063N05063,"Independence County, AR",462,465,629,797,1010,AR,36647
